route	count
main	8184
main-archive	1106
main-rabota	1045
main-internet	894
main-bonus	872
main-news	764
main-tariffs	676
main-online	586
main-vklad	514
main-rabota-archive	170
main-archive-rabota	167
main-bonus-archive	142
main-rabota-bonus	140
main-news-rabota	135
main-bonus-rabota	134
main-archive-internet	133
main-rabota-news	129
main-internet-rabota	128
main-archive-news	126
main-rabota-internet	124
main-internet-archive	123
main-archive-bonus	119
main-tariffs-internet	115
main-internet-bonus	114
main-news-archive	113
main-news-internet	109
main-tariffs-archive	103
main-archive-tariffs	103
main-internet-news	103
main-rabota-main	94
